"compactness","surface_area","wall_area","roof_area","height","orientation","glazing_area","glazing_area_distribution","electricity"
0.76,661.5,416.5,122.5,7,3,0.1,3,332.8
0.76,661.5,416.5,122.5,7,4,0.1,3,323.3
0.76,661.5,416.5,122.5,7,5,0.1,3,332.4
0.74,686,245,220.5,3.5,2,0.1,3,103.9
0.74,686,245,220.5,3.5,3,0.1,3,103.4
0.74,686,245,220.5,3.5,4,0.1,3,103.5
0.74,686,245,220.5,3.5,5,0.1,3,103.8
0.71,710.5,269.5,220.5,3.5,2,0.1,3,107.7
0.71,710.5,269.5,220.5,3.5,3,0.1,3,106.8
0.71,710.5,269.5,220.5,3.5,4,0.1,3,106.8
0.71,710.5,269.5,220.5,3.5,5,0.1,3,107
0.69,735,294,220.5,3.5,2,0.1,3,112.2
0.69,735,294,220.5,3.5,3,0.1,3,111.6
0.69,735,294,220.5,3.5,4,0.1,3,111
0.69,735,294,220.5,3.5,5,0.1,3,111.4
0.66,759.5,318.5,220.5,3.5,2,0.1,3,115.9
0.66,759.5,318.5,220.5,3.5,3,0.1,3,116
0.66,759.5,318.5,220.5,3.5,4,0.1,3,115.3
0.66,759.5,318.5,220.5,3.5,5,0.1,3,116.1
0.64,784,343,220.5,3.5,2,0.1,3,151.6
0.64,784,343,220.5,3.5,3,0.1,3,153.6
0.64,784,343,220.5,3.5,4,0.1,3,151.2
0.64,784,343,220.5,3.5,5,0.1,3,153.6
0.62,808.5,367.5,220.5,3.5,2,0.1,3,126.8
0.62,808.5,367.5,220.5,3.5,3,0.1,3,126.3
0.62,808.5,367.5,220.5,3.5,4,0.1,3,127.1
0.62,808.5,367.5,220.5,3.5,5,0.1,3,127.3
0.98,514.5,294,110.25,7,2,0.1,4,243.8
0.98,514.5,294,110.25,7,3,0.1,4,242.3
0.98,514.5,294,110.25,7,4,0.1,4,240.4
0.98,514.5,294,110.25,7,5,0.1,4,243.2
0.9,563.5,318.5,122.5,7,2,0.1,4,290.6
0.9,563.5,318.5,122.5,7,3,0.1,4,280.5
0.9,563.5,318.5,122.5,7,4,0.1,4,288.6
0.9,563.5,318.5,122.5,7,5,0.1,4,297.9
0.86,588,294,147,7,2,0.1,4,264.4
0.86,588,294,147,7,3,0.1,4,253.7
0.86,588,294,147,7,4,0.1,4,263.3
0.86,588,294,147,7,5,0.1,4,270.3
0.82,612.5,318.5,147,7,2,0.1,4,238
0.82,612.5,318.5,147,7,3,0.1,4,228
0.82,612.5,318.5,147,7,4,0.1,4,235.9
0.82,612.5,318.5,147,7,5,0.1,4,242.4
0.79,637,343,147,7,2,0.1,4,368.6
0.79,637,343,147,7,3,0.1,4,358.9
0.79,637,343,147,7,4,0.1,4,354.5
0.79,637,343,147,7,5,0.1,4,371
0.76,661.5,416.5,122.5,7,2,0.1,4,330.8
0.76,661.5,416.5,122.5,7,3,0.1,4,323.8
0.76,661.5,416.5,122.5,7,4,0.1,4,330.9
0.76,661.5,416.5,122.5,7,5,0.1,4,323.1
0.74,686,245,220.5,3.5,2,0.1,4,100.8
0.74,686,245,220.5,3.5,3,0.1,4,101.5
0.74,686,245,220.5,3.5,4,0.1,4,100.7
0.74,686,245,220.5,3.5,5,0.1,4,101.4
0.71,710.5,269.5,220.5,3.5,2,0.1,4,106.6
0.71,710.5,269.5,220.5,3.5,3,0.1,4,106.8
0.71,710.5,269.5,220.5,3.5,4,0.1,4,105.3
0.71,710.5,269.5,220.5,3.5,5,0.1,4,107.2
0.69,735,294,220.5,3.5,2,0.1,4,111.8
0.69,735,294,220.5,3.5,3,0.1,4,112.2
0.69,735,294,220.5,3.5,4,0.1,4,110.7
0.69,735,294,220.5,3.5,5,0.1,4,112
0.66,759.5,318.5,220.5,3.5,2,0.1,4,114.4
0.66,759.5,318.5,220.5,3.5,3,0.1,4,114.2
0.66,759.5,318.5,220.5,3.5,4,0.1,4,113.3
0.66,759.5,318.5,220.5,3.5,5,0.1,4,114.3
0.64,784,343,220.5,3.5,2,0.1,4,154
0.64,784,343,220.5,3.5,3,0.1,4,151.9
0.64,784,343,220.5,3.5,4,0.1,4,153.2
0.64,784,343,220.5,3.5,5,0.1,4,151.6
0.62,808.5,367.5,220.5,3.5,2,0.1,4,128.5
0.62,808.5,367.5,220.5,3.5,3,0.1,4,130.4
0.62,808.5,367.5,220.5,3.5,4,0.1,4,130
0.62,808.5,367.5,220.5,3.5,5,0.1,4,130
0.98,514.5,294,110.25,7,2,0.1,5,243.5
0.98,514.5,294,110.25,7,3,0.1,5,243.3
0.98,514.5,294,110.25,7,4,0.1,5,240.3
0.98,514.5,294,110.25,7,5,0.1,5,242.6
0.9,563.5,318.5,122.5,7,2,0.1,5,298.3
0.9,563.5,318.5,122.5,7,3,0.1,5,290.8
0.9,563.5,318.5,122.5,7,4,0.1,5,280.3
0.9,563.5,318.5,122.5,7,5,0.1,5,290.2
0.86,588,294,147,7,2,0.1,5,270.3
0.86,588,294,147,7,3,0.1,5,264.5
0.86,588,294,147,7,4,0.1,5,253.6
0.86,588,294,147,7,5,0.1,5,264.5
0.82,612.5,318.5,147,7,2,0.1,5,243.7
0.82,612.5,318.5,147,7,3,0.1,5,238.9
0.82,612.5,318.5,147,7,4,0.1,5,228.9
0.82,612.5,318.5,147,7,5,0.1,5,238.6
0.79,637,343,147,7,2,0.1,5,370.3
0.79,637,343,147,7,3,0.1,5,367.1
0.79,637,343,147,7,4,0.1,5,367.7
0.79,637,343,147,7,5,0.1,5,354.8
0.76,661.5,416.5,122.5,7,2,0.1,5,323.1
0.76,661.5,416.5,122.5,7,3,0.1,5,332.1
0.76,661.5,416.5,122.5,7,4,0.1,5,324.6
0.76,661.5,416.5,122.5,7,5,0.1,5,332.7
0.74,686,245,220.5,3.5,2,0.1,5,104.7
0.74,686,245,220.5,3.5,3,0.1,5,103.7
0.74,686,245,220.5,3.5,4,0.1,5,103.4
0.74,686,245,220.5,3.5,5,0.1,5,103.9
0.71,710.5,269.5,220.5,3.5,2,0.1,5,107.8
0.71,710.5,269.5,220.5,3.5,3,0.1,5,107
0.71,710.5,269.5,220.5,3.5,4,0.1,5,106.7
0.71,710.5,269.5,220.5,3.5,5,0.1,5,136.9
0.69,735,294,220.5,3.5,2,0.1,5,112.1
0.69,735,294,220.5,3.5,3,0.1,5,111.4
0.69,735,294,220.5,3.5,4,0.1,5,111.1
0.69,735,294,220.5,3.5,5,0.1,5,111.6
0.66,759.5,318.5,220.5,3.5,2,0.1,5,113.8
0.66,759.5,318.5,220.5,3.5,3,0.1,5,113.4
0.66,759.5,318.5,220.5,3.5,4,0.1,5,112.2
0.66,759.5,318.5,220.5,3.5,5,0.1,5,113.4
0.64,784,343,220.5,3.5,2,0.1,5,151.6
0.64,784,343,220.5,3.5,3,0.1,5,153.7
0.64,784,343,220.5,3.5,4,0.1,5,151.2
0.64,784,343,220.5,3.5,5,0.1,5,153.6
0.62,808.5,367.5,220.5,3.5,2,0.1,5,125.9
0.62,808.5,367.5,220.5,3.5,3,0.1,5,127.4
0.62,808.5,367.5,220.5,3.5,4,0.1,5,128
0.62,808.5,367.5,220.5,3.5,5,0.1,5,126.2
0.98,514.5,294,110.25,7,2,0.25,1,281.5
0.98,514.5,294,110.25,7,3,0.25,1,281.5
0.98,514.5,294,110.25,7,4,0.25,1,283.7
0.98,514.5,294,110.25,7,5,0.25,1,284.1
0.9,563.5,318.5,122.5,7,2,0.25,1,326.8
0.9,563.5,318.5,122.5,7,3,0.25,1,334.8
0.9,563.5,318.5,122.5,7,4,0.25,1,328.4
0.9,563.5,318.5,122.5,7,5,0.25,1,320
0.86,588,294,147,7,2,0.25,1,295.4
0.86,588,294,147,7,3,0.25,1,300.5
0.86,588,294,147,7,4,0.25,1,296
0.86,588,294,147,7,5,0.25,1,286.6
0.82,612.5,318.5,147,7,2,0.25,1,268.4
0.82,612.5,318.5,147,7,3,0.25,1,272.7
0.82,612.5,318.5,147,7,4,0.25,1,269.7
0.82,612.5,318.5,147,7,5,0.25,1,261.9
0.79,637,343,147,7,2,0.25,1,386.7
0.79,637,343,147,7,3,0.25,1,400.3
0.79,637,343,147,7,4,0.25,1,398.6
0.79,637,343,147,7,5,0.25,1,390.4
0.76,661.5,416.5,122.5,7,2,0.25,1,369.6
0.76,661.5,416.5,122.5,7,3,0.25,1,361.3
0.76,661.5,416.5,122.5,7,4,0.25,1,369.1
0.76,661.5,416.5,122.5,7,5,0.25,1,364.3
0.74,686,245,220.5,3.5,2,0.25,1,124.3
0.74,686,245,220.5,3.5,3,0.25,1,125
0.74,686,245,220.5,3.5,4,0.25,1,124.1
0.74,686,245,220.5,3.5,5,0.25,1,124.5
0.71,710.5,269.5,220.5,3.5,2,0.25,1,125.7
0.71,710.5,269.5,220.5,3.5,3,0.25,1,126.5
0.71,710.5,269.5,220.5,3.5,4,0.25,1,125.7
0.71,710.5,269.5,220.5,3.5,5,0.25,1,126.3
0.69,735,294,220.5,3.5,2,0.25,1,127.8
0.69,735,294,220.5,3.5,3,0.25,1,129.3
0.69,735,294,220.5,3.5,4,0.25,1,127.3
0.69,735,294,220.5,3.5,5,0.25,1,127.2
0.66,759.5,318.5,220.5,3.5,2,0.25,1,131.7
0.66,759.5,318.5,220.5,3.5,3,0.25,1,131.8
0.66,759.5,318.5,220.5,3.5,4,0.25,1,131.7
0.66,759.5,318.5,220.5,3.5,5,0.25,1,131.8
0.64,784,343,220.5,3.5,2,0.25,1,175
0.64,784,343,220.5,3.5,3,0.25,1,173.5
0.64,784,343,220.5,3.5,4,0.25,1,175.2
0.64,784,343,220.5,3.5,5,0.25,1,173.7
0.62,808.5,367.5,220.5,3.5,2,0.25,1,150.9
0.62,808.5,367.5,220.5,3.5,3,0.25,1,151.2
0.62,808.5,367.5,220.5,3.5,4,0.25,1,150.8
0.62,808.5,367.5,220.5,3.5,5,0.25,1,151.6
0.98,514.5,294,110.25,7,2,0.25,2,286.7
0.98,514.5,294,110.25,7,3,0.25,2,285.7
0.98,514.5,294,110.25,7,4,0.25,2,281.8
0.98,514.5,294,110.25,7,5,0.25,2,286
0.9,563.5,318.5,122.5,7,2,0.25,2,324.6
0.9,563.5,318.5,122.5,7,3,0.25,2,332.7
0.9,563.5,318.5,122.5,7,4,0.25,2,323.3
0.9,563.5,318.5,122.5,7,5,0.25,2,316.6
0.86,588,294,147,7,2,0.25,2,293.4
0.86,588,294,147,7,3,0.25,2,298.7
0.86,588,294,147,7,4,0.25,2,292.7
0.86,588,294,147,7,5,0.25,2,284
0.82,612.5,318.5,147,7,2,0.25,2,257.4
0.82,612.5,318.5,147,7,3,0.25,2,259.8
0.82,612.5,318.5,147,7,4,0.25,2,253.8
0.82,612.5,318.5,147,7,5,0.25,2,249.4
0.79,637,343,147,7,2,0.25,2,385.7
0.79,637,343,147,7,3,0.25,2,401.9
0.79,637,343,147,7,4,0.25,2,399.7
0.79,637,343,147,7,5,0.25,2,389.8
0.76,661.5,416.5,122.5,7,2,0.25,2,369.5
0.76,661.5,416.5,122.5,7,3,0.25,2,362.8
0.76,661.5,416.5,122.5,7,4,0.25,2,368.6
0.76,661.5,416.5,122.5,7,5,0.25,2,364.5
0.74,686,245,220.5,3.5,2,0.25,2,123.5
0.74,686,245,220.5,3.5,3,0.25,2,124.5
0.74,686,245,220.5,3.5,4,0.25,2,121.6
0.74,686,245,220.5,3.5,5,0.25,2,123
0.71,710.5,269.5,220.5,3.5,2,0.25,2,123.3
0.71,710.5,269.5,220.5,3.5,3,0.25,2,122.9
0.71,710.5,269.5,220.5,3.5,4,0.25,2,122
0.71,710.5,269.5,220.5,3.5,5,0.25,2,124.9
0.69,735,294,220.5,3.5,2,0.25,2,128.5
0.69,735,294,220.5,3.5,3,0.25,2,128.7
0.69,735,294,220.5,3.5,4,0.25,2,127.3
0.69,735,294,220.5,3.5,5,0.25,2,129.5
0.66,759.5,318.5,220.5,3.5,2,0.25,2,130.5
0.66,759.5,318.5,220.5,3.5,3,0.25,2,129.3
0.66,759.5,318.5,220.5,3.5,4,0.25,2,127.7
0.66,759.5,318.5,220.5,3.5,5,0.25,2,130
0.64,784,343,220.5,3.5,2,0.25,2,171.4
0.64,784,343,220.5,3.5,3,0.25,2,168.4
0.64,784,343,220.5,3.5,4,0.25,2,170.2
0.64,784,343,220.5,3.5,5,0.25,2,171.1
0.62,808.5,367.5,220.5,3.5,2,0.25,2,143.4
0.62,808.5,367.5,220.5,3.5,3,0.25,2,146.6
0.62,808.5,367.5,220.5,3.5,4,0.25,2,146
0.62,808.5,367.5,220.5,3.5,5,0.25,2,146
0.98,514.5,294,110.25,7,2,0.25,3,286.7
0.98,514.5,294,110.25,7,3,0.25,3,285.6
0.98,514.5,294,110.25,7,4,0.25,3,281.7
0.98,514.5,294,110.25,7,5,0.25,3,286.3
0.9,563.5,318.5,122.5,7,2,0.25,3,316.3
0.9,563.5,318.5,122.5,7,3,0.25,3,324
0.9,563.5,318.5,122.5,7,4,0.25,3,326.8
0.9,563.5,318.5,122.5,7,5,0.25,3,322.9
0.86,588,294,147,7,2,0.25,3,284
0.86,588,294,147,7,3,0.25,3,294
0.86,588,294,147,7,4,0.25,3,294.3
0.86,588,294,147,7,5,0.25,3,290.7
0.82,612.5,318.5,147,7,2,0.25,3,247
0.82,612.5,318.5,147,7,3,0.25,3,254.8
0.82,612.5,318.5,147,7,4,0.25,3,253.7
0.82,612.5,318.5,147,7,5,0.25,3,251.7
0.79,637,343,147,7,2,0.25,3,390.4
0.79,637,343,147,7,3,0.25,3,383.5
0.79,637,343,147,7,4,0.25,3,398.1
0.79,637,343,147,7,5,0.25,3,398.3
0.76,661.5,416.5,122.5,7,2,0.25,3,359.9
0.76,661.5,416.5,122.5,7,3,0.25,3,365.9
0.76,661.5,416.5,122.5,7,4,0.25,3,356.4
0.76,661.5,416.5,122.5,7,5,0.25,3,365.2
0.74,686,245,220.5,3.5,2,0.25,3,118
0.74,686,245,220.5,3.5,3,0.25,3,120.3
0.74,686,245,220.5,3.5,4,0.25,3,119.8
0.74,686,245,220.5,3.5,5,0.25,3,116.9
0.71,710.5,269.5,220.5,3.5,2,0.25,3,124.1
0.71,710.5,269.5,220.5,3.5,3,0.25,3,122.8
0.71,710.5,269.5,220.5,3.5,4,0.25,3,121
0.71,710.5,269.5,220.5,3.5,5,0.25,3,121.9
0.69,735,294,220.5,3.5,2,0.25,3,123.4
0.69,735,294,220.5,3.5,3,0.25,3,124.6
0.69,735,294,220.5,3.5,4,0.25,3,123.1
0.69,735,294,220.5,3.5,5,0.25,3,121.2
0.66,759.5,318.5,220.5,3.5,2,0.25,3,129.7
0.66,759.5,318.5,220.5,3.5,3,0.25,3,130.1
0.66,759.5,318.5,220.5,3.5,4,0.25,3,127.4
0.66,759.5,318.5,220.5,3.5,5,0.25,3,128.4
0.64,784,343,220.5,3.5,2,0.25,3,168.3
0.64,784,343,220.5,3.5,3,0.25,3,169.3
0.64,784,343,220.5,3.5,4,0.25,3,166.6
0.64,784,343,220.5,3.5,5,0.25,3,168.6
0.62,808.5,367.5,220.5,3.5,2,0.25,3,139.1
0.62,808.5,367.5,220.5,3.5,3,0.25,3,143.4
0.62,808.5,367.5,220.5,3.5,4,0.25,3,139.5
0.62,808.5,367.5,220.5,3.5,5,0.25,3,139.9
0.98,514.5,294,110.25,7,2,0.25,4,287
0.98,514.5,294,110.25,7,3,0.25,4,285.5
0.98,514.5,294,110.25,7,4,0.25,4,281.5
0.98,514.5,294,110.25,7,5,0.25,4,286.2
0.9,563.5,318.5,122.5,7,2,0.25,4,326.7
0.9,563.5,318.5,122.5,7,3,0.25,4,316.9
0.9,563.5,318.5,122.5,7,4,0.25,4,320.7
0.9,563.5,318.5,122.5,7,5,0.25,4,332.8
0.86,588,294,147,7,2,0.25,4,294.7
0.86,588,294,147,7,3,0.25,4,284.2
0.86,588,294,147,7,4,0.25,4,290.8
0.86,588,294,147,7,5,0.25,4,298.8
0.82,612.5,318.5,147,7,2,0.25,4,256.6
0.82,612.5,318.5,147,7,3,0.25,4,249.6
0.82,612.5,318.5,147,7,4,0.25,4,254.3
0.82,612.5,318.5,147,7,5,0.25,4,260
0.79,637,343,147,7,2,0.25,4,400
0.79,637,343,147,7,3,0.25,4,388.4
0.79,637,343,147,7,4,0.25,4,383.3
0.79,637,343,147,7,5,0.25,4,401.2
0.76,661.5,416.5,122.5,7,2,0.25,4,369.5
0.76,661.5,416.5,122.5,7,3,0.25,4,364.5
0.76,661.5,416.5,122.5,7,4,0.25,4,368.1
0.76,661.5,416.5,122.5,7,5,0.25,4,362.6
0.74,686,245,220.5,3.5,2,0.25,4,123.2
0.74,686,245,220.5,3.5,3,0.25,4,123
0.74,686,245,220.5,3.5,4,0.25,4,121.8
0.74,686,245,220.5,3.5,5,0.25,4,124.3
0.71,710.5,269.5,220.5,3.5,2,0.25,4,123.6
0.71,710.5,269.5,220.5,3.5,3,0.25,4,124.9
0.71,710.5,269.5,220.5,3.5,4,0.25,4,121.7
0.71,710.5,269.5,220.5,3.5,5,0.25,4,122.8
0.69,735,294,220.5,3.5,2,0.25,4,129.1
0.69,735,294,220.5,3.5,3,0.25,4,129.5
0.69,735,294,220.5,3.5,4,0.25,4,126.7
0.69,735,294,220.5,3.5,5,0.25,4,128.6
0.66,759.5,318.5,220.5,3.5,2,0.25,4,129.5
0.66,759.5,318.5,220.5,3.5,3,0.25,4,130
0.66,759.5,318.5,220.5,3.5,4,0.25,4,128.6
0.66,759.5,318.5,220.5,3.5,5,0.25,4,129.2
0.64,784,343,220.5,3.5,2,0.25,4,169.9
0.64,784,343,220.5,3.5,3,0.25,4,166.9
0.64,784,343,220.5,3.5,4,0.25,4,165.6
0.64,784,343,220.5,3.5,5,0.25,4,166.2
0.62,808.5,367.5,220.5,3.5,2,0.25,4,143.3
0.62,808.5,367.5,220.5,3.5,3,0.25,4,146.1
0.62,808.5,367.5,220.5,3.5,4,0.25,4,146.1
0.62,808.5,367.5,220.5,3.5,5,0.25,4,146.5
0.98,514.5,294,110.25,7,2,0.25,5,286.9
0.98,514.5,294,110.25,7,3,0.25,5,285.8
0.98,514.5,294,110.25,7,4,0.25,5,281.5
0.98,514.5,294,110.25,7,5,0.25,5,286.1
0.9,563.5,318.5,122.5,7,2,0.25,5,331.3
0.9,563.5,318.5,122.5,7,3,0.25,5,323.1
0.9,563.5,318.5,122.5,7,4,0.25,5,315.3
0.9,563.5,318.5,122.5,7,5,0.25,5,324.6
0.86,588,294,147,7,2,0.25,5,297.1
0.86,588,294,147,7,3,0.25,5,290.9
0.86,588,294,147,7,4,0.25,5,283.1
0.86,588,294,147,7,5,0.25,5,293.9
